City_ID,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
3,fortuna,40.5982,-124.1573,9.25,97,100,0.0,US,1704341027
4,vilyuysk,63.7553,121.6247,-31.67,98,99,2.68,RU,1704341027
5,thompson,55.7435,-97.8558,-15.91,85,100,1.54,CA,1704340906
6,udachny,66.4167,112.4,-31.96,97,100,1.85,RU,1704340921
7,mutsu,41.2894,141.2169,2.24,92,100,4.02,JP,1704341028
8,mahibadhoo,3.7833,72.9667,28.03,75,100,2.31,MV,1704341028
10,peace river,56.2501,-117.286,-8.83,92,100,2.06,CA,1704340837
12,barclayville,4.6797,-8.2339,25.01,87,7,0.88,LR,1704341029
21,kodiak,57.79,-152.4072,-0.27,93,20,0.0,US,1704341030
25,wailua homesteads,22.0669,-159.378,23.44,82,0,3.09,US,1704341031
26,ust-nera,64.5667,143.2,-40.64,98,96,1.84,RU,1704341031
28,san julian,21.0167,-102.1667,12.52,40,1,3.17,MX,1704341031
29,ilulissat,69.2167,-51.1,-2.99,39,40,10.29,GL,1704341032
30,fort st. john,56.2499,-120.8529,-12.06,92,100,6.69,CA,1704340852
31,enewetak,11.3474,162.3373,27.16,75,59,8.8,MH,1704341032
33,talnakh,69.4865,88.3972,-24.89,93,100,5.39,RU,1704341032
34,enshi,30.3,109.4833,12.35,66,13,0.63,CN,1704341032
38,port blair,11.6667,92.75,29.02,74,40,4.12,IN,1704341033
40,qarqaraly,49.4058,75.4742,-11.54,72,73,2.63,KZ,1704341033
42,isafjordur,66.0755,-23.124,-0.23,90,100,3.11,IS,1704341034
43,stanley,54.868,-1.6985,5.01,91,75,2.06,GB,1704341034
44,saipan,15.1355,145.701,30.39,74,40,6.17,MP,1704341034
45,juneau,58.3019,-134.4197,2.83,100,100,0.0,US,1704341034
46,longyearbyen,78.2186,15.6401,-16.09,78,75,5.14,SJ,1704341034
48,siguiri,11.6667,-9.5,21.58,19,14,1.31,GN,1704341035
49,albany,42.6001,-73.9662,1.68,83,69,1.2,US,1704340803
51,georgetown,5.4112,100.3354,30.96,70,20,2.24,MY,1704340927
55,klyuchi,52.2667,79.1667,-16.18,97,88,2.48,RU,1704341036
56,puerto el triunfo,13.2833,-88.55,24.53,77,69,2.66,SV,1704341036
58,northam,51.0333,-4.2167,9.25,87,12,6.69,GB,1704341036
62,ribeira grande,38.5167,-28.7,14.87,88,58,4.02,PT,1704341037
63,levuka,50.1834,-105.4011,-10.16,57,100,3.93,CA,1704341037
64,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,80,0,4.0,RU,1704341037
65,gazojak,41.1875,61.4036,7.08,50,100,3.59,TM,1704341037
66,taiohae,28.7781,-17.7646,16.06,77,0,2.06,ES,1704341038
68,kaoma,26.8418,88.0763,14.36,45,2,1.95,NP,1704341038
69,chinde,69.4058,86.1778,-24.66,95,100,6.26,RU,1704341038
71,papatowai,67.6713,53.087,-13.13,89,100,6.62,RU,1704341038
73,n'zeto,17.997,-76.7936,26.53,90,40,3.09,JM,1704341039
75,hithadhoo,21.9789,-159.3672,22.98,79,92,1.85,US,1704340819
76,lihue,5.2056,103.2059,28.95,80,99,4.57,MY,1704341039
77,marang,49.9168,-74.3659,-15.21,85,100,3.09,CA,1704341039
79,aracati,42.097,-79.2353,0.77,97,100,3.09,US,1704341040
81,jamestown,41.3712,-73.414,3.3,75,100,1.54,US,1704341040
83,bethel,34.6391,-120.4579,13.4,77,100,8.75,US,1704340914
84,'ohonua,64.8569,-147.8028,-15.82,76,20,3.6,US,1704341041
85,alofi,34.388,67.0233,-4.38,68,58,1.02,AF,1704341041
86,lompoc,6.024,80.7911,28.09,76,48,3.91,LK,1704341041
87,college,68.0546,166.4372,-30.39,98,100,0.3,RU,1704341041
89,tangalle,34.5507,-92.341,5.42,89,0,1.43,US,1704341043
90,bilibino,36.0307,-75.676,8.32,75,40,2.57,US,1704341044
92,east end,60.7167,-46.0333,-2.55,97,100,3.77,GL,1704341047
96,mizque,51.7834,-114.102,-5.05,93,100,0.51,CA,1704340952
99,olds,67.6647,24.8936,-26.92,76,100,2.57,FI,1704341049
100,west island,23.9915,47.1627,16.23,78,8,3.03,SA,1704341049
102,kittila,42.2401,125.7172,-2.15,73,94,5.81,CN,1704341050
103,ad dilam,37.7167,-25.4333,16.23,89,70,2.37,PT,1704341050
104,morondava,54.7804,-127.1743,-0.82,93,100,3.09,CA,1704340824
105,liuhe,30.1337,9.5007,11.1,42,0,2.53,LY,1704341050
106,vila franca do campo,59.3833,143.3,-27.66,81,16,2.44,RU,1704341050
107,smithers,19.7297,-155.09,22.92,90,90,0.89,US,1704340833
109,okhotsk,51.3813,1.3862,8.26,83,56,2.68,GB,1704340914
112,margate,38.421,-121.4238,9.52,90,20,1.54,US,1704341052
114,codrington,62.7084,56.1964,-34.61,99,58,0.89,RU,1704341052
115,laguna,44.0306,145.8556,-1.46,63,51,2.21,RU,1704341053
116,forster,44.1833,28.65,7.61,85,36,4.6,RO,1704341053
117,troitsko-pechorsk,8.1499,171.1687,27.57,80,96,9.09,MH,1704341053
118,yuzhno-kurilsk,52.1324,46.0714,-18.52,95,28,2.96,RU,1704341053
119,constantia,44.8824,110.1163,-7.0,79,7,7.39,MN,1704341054
120,aur,37.716,33.5506,7.47,80,100,3.64,TR,1704341054
121,novyye burasy,27.2167,77.4833,12.19,50,0,0.87,IN,1704341043
123,karapinar,15.1555,98.4536,31.04,37,23,0.91,TH,1704341054
124,bharatpur,63.7506,-68.5145,-16.15,55,0,9.26,CA,1704340966
125,alice springs,26.1247,127.6694,20.22,49,75,8.23,JP,1704341055
126,sangkhla buri,42.9019,133.9064,-0.62,50,11,3.9,RU,1704341055
127,iqaluit,64.0049,-22.5624,0.24,80,0,5.14,IS,1704341055
129,preobrazheniye,11.65,7.2333,17.77,19,34,4.14,NG,1704341056
130,keflavik,18.3054,-74.2197,22.92,95,70,1.17,HT,1704341056
131,new norfolk,29.0605,-13.564,13.12,82,0,1.54,ES,1704341056
132,bardai,67.5833,63.95,-20.65,97,100,7.27,RU,1704341057
133,les anglais,62.456,-114.3525,-30.71,76,100,4.12,CA,1704340887
134,teguise,47.5166,-52.7813,0.04,86,100,3.09,CA,1704341009
135,vorgashor,10.5669,72.642,25.47,89,100,6.04,IN,1704341058
139,kavaratti,17.2706,-100.8939,22.66,78,47,2.31,MX,1704341059
140,uturoa,64.8,-147.5333,-15.86,77,0,3.6,US,1704341059
141,touros,43.3,52.8,0.75,88,49,2.03,KZ,1704341059
142,sokoni,40.9725,117.9361,-3.45,69,26,1.44,CN,1704341059
143,minas de matahambre,31.6167,-2.2167,5.18,28,0,1.03,DZ,1704341060
144,san luis de la loma,71.6872,128.8694,-37.87,100,72,1.88,RU,1704341060
145,badger,29.1614,16.139,10.0,75,0,0.51,LY,1704341060
146,zhanaozen,39.7432,98.5174,-1.25,35,99,0.72,CN,1704341060
148,bechar,46.9737,-124.1563,8.9,95,100,2.57,US,1704341061
150,waddan,53.1873,158.3805,-8.92,56,0,4.02,RU,1704341061
152,san carlos de bariloche,33.0728,107.0303,11.32,50,8,1.3,CN,1704341062
154,daru,19.5933,-154.9731,22.8,86,20,2.06,US,1704341062
156,souillac,37.3138,-121.0208,9.13,91,52,0.89,US,1704341062
157,hanzhong,36.5449,61.1577,12.0,32,100,1.97,IR,1704341063
158,geraldton,38.4362,57.4316,12.02,47,100,2.74,TM,1704341063
159,hawaiian paradise park,65.5333,72.5167,-19.16,88,100,7.39,RU,1704341063
161,newman,65.9939,57.5281,-24.14,98,100,7.36,RU,1704341064
162,sarakhs,49.0097,33.6455,3.66,96,100,4.53,UA,1704341064
163,baharly,52.1168,-106.6345,-8.01,78,100,4.12,CA,1704341039
165,nadym,47.5649,-52.7093,0.5,86,100,3.58,CA,1704341033
166,belmonte,55.7503,38.0042,-24.66,92,38,2.68,RU,1704341065
167,usinsk,25.9333,81.9833,18.11,51,0,1.64,IN,1704341065
168,horishni plavni,64.9555,34.5793,-23.58,90,47,3.37,RU,1704341065
169,saskatoon,17.9583,-102.2,21.38,84,58,2.21,MX,1704340994
171,st. john's,70.9221,-8.7187,-4.85,70,98,8.49,SJ,1704341066
175,lazaro cardenas,11.2408,-74.199,29.38,69,59,4.47,CO,1704340903
176,imbituva,53.3168,-60.3315,-13.83,72,75,2.06,CA,1704341067
177,olonkinbyen,62.7833,148.1667,-37.23,100,98,0.45,RU,1704341067
178,acarau,13.2736,144.7484,30.22,82,34,5.23,GU,1704341067
183,susuman,45.96,17.4586,11.11,78,94,4.54,HU,1704341069
184,inarajan village,60.7161,-135.0538,-11.57,84,100,2.06,CA,1704341069
185,tadine,56.7268,-111.381,-12.23,92,100,1.54,CA,1704341069
187,chivilcoy,21.2141,41.6331,15.0,62,0,2.54,SA,1704340866
188,talara,53.7189,-6.3478,7.32,87,100,5.88,IE,1704341070
189,barcs,65.7461,-19.6394,-6.78,87,31,3.11,IS,1704340905
191,fort mcmurray,14.0667,-60.95,26.9,74,50,7.54,LC,1704341070
192,sierra grande,52.3333,124.7333,-18.69,83,99,0.74,CN,1704341070
193,turabah,68.7098,-52.8699,-11.54,78,55,5.93,GL,1704341071
194,drogheda,43.919,46.7102,4.6,60,100,3.85,RU,1704341071
196,tual,36.7167,140.7167,11.72,60,61,8.05,JP,1704341071
197,gros islet,41.1415,-73.3579,4.0,69,100,2.06,US,1704340945
200,pervomayskoye,21.4612,-71.1419,24.84,74,97,7.22,TC,1704341012
202,takahagi,4.9167,-52.2667,26.02,89,100,2.06,GF,1704341072
203,westport,15.3652,119.9582,27.42,74,7,3.73,PH,1704341073
204,puerto san carlos,35.0136,-1.748,10.64,46,49,1.15,DZ,1704341073
205,luanda,35.7333,140.8333,15.16,53,88,11.57,JP,1704341073
206,vredendal,35.7565,-83.9705,3.98,85,100,2.57,US,1704341073
207,cockburn town,57.0531,-135.33,7.94,66,100,7.2,US,1704341073
208,tocopilla,50.6672,21.8401,6.96,92,56,0.45,PL,1704341074
211,nedroma,4.8699,-2.2405,26.25,86,38,3.01,GH,1704341074
212,hasaki,10.4167,-13.5833,21.79,95,0,0.43,GN,1704341074
214,sitka,1.55,110.3333,33.34,76,40,1.54,MY,1704341075
216,gobabis,60.3725,93.0408,-33.57,100,86,1.79,RU,1704341075
217,auki,28.017,-97.5169,12.92,74,54,3.61,US,1704341075
218,axim,15.1333,-89.3667,21.22,99,25,0.46,GT,1704341076
219,fria,18.4838,-66.8449,24.35,89,66,2.24,PR,1704341076
220,bel ombre,25.9155,13.9184,10.97,46,1,3.38,LY,1704341076
221,kuching,62.6683,131.1683,-34.73,99,72,1.63,RU,1704341076
222,coquimbo,26.9147,70.9181,14.11,22,0,3.96,IN,1704341076
224,san patricio,52.2704,-9.7026,6.19,83,9,3.62,IE,1704341077
227,murzuq,39.1834,-84.5333,1.69,79,100,5.14,US,1704340933
230,minas de marcona,53.0522,60.6467,-2.77,91,100,6.26,RU,1704341078
231,tralee,50.9333,6.95,8.87,85,100,6.69,DE,1704340882
233,luwingu,50.9996,2.1078,10.03,86,69,8.86,FR,1704341079
235,rio grande,10.9333,108.1,32.8,38,8,2.98,VN,1704341079
236,christchurch,31.1667,97.2333,-6.56,39,95,0.77,CN,1704341079
237,kartaly,32.767,22.6367,14.83,77,2,4.94,LY,1704341079
238,colonia,64.1835,-51.7216,-5.07,93,100,10.8,GL,1704340860
239,callao,1.7159,44.7717,24.55,77,100,5.4,SO,1704341080
240,grand-fort-philippe,40.1629,-8.3327,9.49,91,76,0.77,PT,1704341080
243,espargos,1.2472,111.4528,30.01,74,20,0.0,MY,1704341081
245,darnah,49.4212,130.0842,-12.91,92,100,1.79,RU,1704341081
247,marka,55.4475,78.3218,-32.33,99,65,2.22,RU,1704341082
248,lata,60.6911,60.4206,-27.67,96,100,1.34,RU,1704341082
250,cepu,5.3248,163.0078,28.59,76,87,7.3,FM,1704341083
252,puerto baquerizo moreno,51.5,46.1167,-17.12,89,88,4.58,RU,1704341083
253,arkhara,42.5696,47.8645,5.05,73,59,8.09,RU,1704341083
254,camapua,63.0128,112.4714,-28.44,97,100,2.93,RU,1704341083
257,port elizabeth,1.419,172.984,27.05,94,100,5.66,KI,1704341084
258,tofol,38.8,121.2667,7.12,59,48,9.5,CN,1704341084
259,fale old settlement,33.7218,66.1302,2.38,77,51,0.5,AF,1704341084
261,izberbash,21.6333,110.5833,21.34,36,32,4.89,CN,1704341085
264,rawson,37.6333,22.7333,13.21,81,73,1.69,GR,1704341085
265,tarawa,25.4514,30.5464,11.84,65,6,3.28,EG,1704341085
266,port arthur,20.5667,86.5667,23.41,39,0,2.67,IN,1704341086
267,ahau,12.4816,102.0738,31.19,61,5,1.54,TH,1704341086
268,nili,27.9769,-114.0611,17.11,77,20,11.63,MX,1704341086
271,afaahiti,39.2667,141.8833,6.11,83,97,4.01,JP,1704341087
272,karaton,47.8585,4.5738,8.25,89,79,7.89,FR,1704341087
273,argo,47.2043,-121.9915,7.55,94,100,2.63,US,1704341087
276,laem sing,23.8997,106.6133,18.63,54,25,2.23,CN,1704341088
279,olinda,5.6639,-67.6236,27.41,61,28,2.56,VE,1704341088
281,kamaishi,64.75,177.4833,-13.72,92,75,5.0,RU,1704341088
283,chatillon-sur-seine,50.4592,48.1431,-8.16,62,74,5.49,RU,1704341089
286,mar del plata,27.95,86.8167,-14.32,43,0,1.51,NP,1704341090
289,new plymouth,22.8909,-109.9124,21.53,59,4,0.89,MX,1704340440
290,puerto ayacucho,42.8,93.45,-4.29,60,0,1.01,CN,1704341090
291,port macquarie,47.8667,88.1167,-10.7,84,91,1.87,CN,1704341091
292,anadyr,53.6942,88.0603,-16.64,95,100,0.78,RU,1704341086
293,toliara,14.5748,33.3373,17.98,28,5,4.12,SD,1704341091
294,novouzensk,21.9297,-79.4425,18.47,85,37,0.8,CU,1704341091
296,envira,24.2049,23.2857,10.93,46,7,3.46,LY,1704341092
297,lobujya,44.2751,19.8982,9.33,69,78,4.17,RS,1704341092
299,guayaramerin,62.2266,-6.589,4.51,90,100,12.24,FO,1704341093
302,altay,47.4999,-52.9981,0.37,87,100,2.71,CA,1704341093
303,mezhdurechensk,70.6634,23.6821,-2.75,74,40,2.06,NO,1704340992
304,al masallamiyya,11.1635,166.8941,27.0,78,74,9.12,MH,1704341093
305,sancti spiritus,70.0744,29.7487,-10.91,92,75,4.63,NO,1704341094
306,papao,35.1333,140.3,12.31,51,71,8.44,JP,1704341094
307,at taj,52.9463,-66.9114,-15.05,85,100,2.06,CA,1704340810
